"","author","title","journal","keywords","extra_keywords","abstract","publisher","pubdate","pubyear","doi2","affil","affil2","doi_methods"
"61","Devens, Carolyn
Tshabalala, Thulani
McManus, Jeannine
Smuts, Bool","Counting the spots: The use of a spatially explicit capture-recapture
technique and GPS data to estimate leopard (Panthera pardus) density in
the Eastern and Western Cape, South Africa","AFR J ECOL","CAMERA-TRAPS; POPULATION-DENSITY; GENE FLOW; CARNIVORE; TIGER; PREY","carnivore conservation; density; home range; leopard (Panthera pardus);
spatially explicit capture-recapture","Estimating species population density directly contributes to the conservation of species. As keystone species, carnivores are important to conserve; however, estimating density of wide-ranging, elusive and solitary carnivores has proven difficult. The leopard (Panthera pardus) is the last large free-roaming top carnivore in South Africa, and no formal density study had been conducted across the Eastern and Western Cape. We estimated leopard density and abundance using GPS data from 21 collared leopards and a spatially explicit capture-mark-recapture (SECR) method with camera trap survey data. Four regional sites were surveyed using 173 camera trap locations over 15,390 camera trap days, capturing 740 leopard images of which 77 individuals were identified. SECR averaged 0.95 leopards/100 km(2) and the two GPS methods averaged 1 and 1.11 leopards/100 km(2). Based on predicted available leopard habitat for the region, leopard abundance was estimated between 467 (+/- 112.8) and 553 (+/- 168.8) in the Western Cape and between 365 (+/- 93.2) and 430 (+/- 139.9) in the Eastern Cape. Discrepancies in density estimates can be complex stemming from biological behaviour, anthropogenic factors and prey density. However, our estimates appear to show relatively little variation, suggesting that SECR methods and GPS data capture the population density estimates of the species well.","WILEY","DEC",2018,"101111aje12512","[Devens, Carolyn] Univ Pretoria, Ctr Wildlife Management, Pretoria, South Africa./[Tshabalala, Thulani; McManus, Jeannine; Smuts, Bool] Landmark Fdn, Res Dept, Riversdale, South Africa./[McManus, Jeannine] Univ Witwatersrand, Anim Plants & Environm Sci, Johannesburg, South Africa.","McManus, J (reprint author), Landmark Fdn, Res Dept, Riversdale, South Africa.; McManus, J (reprint author), Univ Witwatersrand, Anim Plants & Environm Sci, Johannesburg, South Africa.",NA
"62","Green, Sian
Davidson, Zeke
Kaaria, Timothy
Doncaster, C.","Do wildlife corridors link or extend habitat? Insights from elephant use
of a Kenyan wildlife corridor","AFR J ECOL","AFRICAN ELEPHANTS; LOXODONTA-AFRICANA; NATIONAL-PARK; GAME RESERVE;
CONNECTIVITY; POPULATION; PATTERNS; CONSERVATION; LANDSCAPE; MOVEMENT","African elephants; camera trapping; connectivity; corridor","Human encroachment on wildlife habitats is leading to increased fragmentation; hence, there is an increasing focus on improving connectivity between remaining habitat. Large, wide-ranging species such as the African elephant, (Loxodonta africana), are particularly vulnerable due to their extensive habitat requirements. Wildlife corridors have been created to facilitate movement, with little knowledge to date on whether they serve their intended function as transit routes, or whether they simply extend the available habitat for occupancy. We collected data on elephant behaviour in the Mount Kenya Elephant Corridor, with the aim of quantifying the utility of the corridor. A grid of 25 camera traps was used to survey the 478 ha corridor over 11 weeks. Cameras recorded over 43,000 photos with 694 separate events triggered by elephants. Patterns of use varied spatially and temporally, indicating that certain areas were treated as habitat extension, while others were predominantly for transit. These differences were likely due to variation in vegetation cover and levels of human disturbance. Corridor use differed amongst individuals, suggesting that use may depend on both the characteristics of the corridor itself and the social or resource needs of individual elephants.","WILEY","DEC",2018,"101111aje12541","[Green, Sian; Doncaster, C.] Univ Southampton, Biol Sci, Southampton, Hants, England./[Green, Sian; Davidson, Zeke] Marwell Wildlife, Winchester, Hants, England./[Kaaria, Timothy] Lewa Wildlife Conservancy, Isiolo, Kenya.","Green, SE (reprint author), Beer Mill, Clawton EX22 6PF, Devon, England.",NA
"63","Gaynor, Kaitlyn
Branco, Paola
Long, Ryan
Goncalves, Dominique
Granli, Petter
Poole, Joyce","Effects of human settlement and roads on diel activity patterns of
elephants (Loxodonta africana)","AFR J ECOL","CROP-RAIDING ELEPHANTS; HUMAN-DOMINATED LANDSCAPE; HUMAN DISTURBANCE;
PREDATION RISK; NATIONAL-PARK; LONG-TERM; WILDLIFE; POPULATION;
BEHAVIOR; COEXISTENCE","activity pattern; diel activity; human-wildlife conflict; Mozambique;
roads","As the human footprint expands worldwide, people and wildlife are coming into greater contact, and areas of human activity may be simultaneously associated with risk and reward for animals. To avoid human threats while exploiting opportunities, animals may adjust their spatiotemporal activity, using areas of anthropogenic disturbance at night when people are less active. We combined four camera trap datasets from Mozambique's Gorongosa National Park to evaluate the effects of roads and settlement on diel activity patterns of elephants (Loxodonta africana). We found high rates of elephant activity along the boundary of the park, where elephants can access cultivated crops, and along roads, which serve as movement corridors. However, elephants restricted their activity to the night and crepuscular periods in these areas of human disturbance, seeking refuge in the interior of the park away from roads and settlements during the day. Our findings suggest that a history of killing and antagonism has instilled a fear of humans in this elephant population, with implications for research, tourism and human-elephant coexistence. Our study highlights the utility of camera traps in monitoring human-wildlife conflict and habituation and demonstrates the value of integrating disparate camera trap datasets for comparative analyses on landscape or even continental scales.","WILEY","DEC",2018,"101111aje12552","[Gaynor, Kaitlyn] Univ Calif Berkeley, Dept Environm Sci Policy & Management, Berkeley, CA 94720 USA./[Branco, Paola; Long, Ryan] Univ Idaho, Dept Fish & Wildlife Sci, Moscow, ID 83843 USA./[Goncalves, Dominique] Gorongosa Natl Pk, Dept Sci Serv, Gorongosa, Mozambique./[Goncalves, Dominique] Univ Kent, Durrell Inst Conservat & Ecol, Canterbury, Kent, England./[Granli, Petter; Poole, Joyce] ElephantVoices, Sandefjord, Norway.","Gaynor, KM (reprint author), Univ Calif Berkeley, Dept Environm Sci Policy & Management, Berkeley, CA 94720 USA.",NA
"64","Goodenough, Anne
Carpenter, William
MacTavish, Lynne
Theron, Charles
Delbridge, Matthew
Hart, Adam","Identification of African antelope species: Using thermographic videos
to test the efficacy of real-time thermography","AFR J ECOL","WHITE-TAILED DEER; TRANSECT SURVEYS; MISIDENTIFICATION; MAMMALS;
VARIABILITY; MANAGEMENT; DENSITY; QUALITY; COUNTS; ERRORS","antelope identification; real-time thermography; species identification;
survey tool; wildlife monitoring","Real-time thermography using the live-view function of a thermal camera has considerable potential to improve surveys of nocturnal wildlife relative to traditional spotlighting, while also decreasing disturbance. However, ability to identify species accurately is paramount. We use video as a proxy for real-time thermography to test African antelope identification accuracy among 34 observers of differing experience. Overall accuracy was 41% but there were substantial species-specific differences (e.g. wildebeest (Connochaetes taurinus) = 81%; reedbuck (Redunca arundinum) = 12%). Observer experience was significantly positively related to accuracy (inexperienced = 30%; expert = 61%) with experienced observers being better able to use subtle movement and behavioural information to identify animals. However, the effect of experience was inconsistent between species: even experts found some species challenging (e.g. waterbuck (Kobus ellipsiprymnus) where coat patterning was invisible thermographically). Self-assessed confidence did not correlate with accuracy. Observers who were good at identifying species were also good at assessing group size. We conclude that real-time thermography is not a ""magic bullet"" and the understanding of species-specific effectiveness is vital. However, for some species and some groups of observers, accuracy can be extremely high (e.g. 100% for expert observers viewing wildebeest). Tailored training is essential for real-time thermography to be a reliable field technique.","WILEY","DEC",2018,"101111aje12513","[Goodenough, Anne; Carpenter, William; Hart, Adam] Univ Gloucestershire, Sch Nat & Social Sci, Cheltenham, Glos, England./[MacTavish, Lynne; Theron, Charles; Delbridge, Matthew] Mankwe Wildlife Reserve, Mogwase, South Africa.","Goodenough, AE (reprint author), Univ Gloucestershire, Sch Nat & Social Sci, Cheltenham, Glos, England.",NA
"65","Genoves, Rodrigo C.
Fruet, Pedro F.
Di Tullio, Juliana C.
Moller, Luciana M.
Secchi, Eduardo R.","Spatiotemporal use predicts social partitioning of bottlenose dolphins
with strong home range overlap","ECOL EVOL","TURSIOPS-TRUNCATUS; ASSOCIATION PATTERNS; POPULATION-STRUCTURE; ALLIANCE
FORMATION; FISH ABUNDANCE; HABITAT USE; TAMPA BAY; NETWORK; FISSION;
KINSHIP","affiliation; gregariousness; social division; social group; spatial
distribution; spatiotemporal dynamics","Ranging behaviour and temporal patterns of individuals are known to be fundamental sources of variation in social networks. Spatiotemporal dynamics can both provide and inhibit opportunities for individuals to associate, and should therefore be considered in social analysis. This study investigated the social structure of a Lahille's bottlenose dolphin (Tursiops truncatus gephyreus) population, which shows different spatiotemporal patterns of use and gregariousness between individuals. For this, we constructed an initial social network using association indices corrected for gregariousness and then uncovered affiliations from this social network using generalized affiliation indices. The association-based social network strongly supported that this dolphin population consists of four social units highly correlated to spatiotemporal use patterns. Excluding the effects of gregariousness and spatiotemporal patterns, the affiliation-based social network suggested an additional two social units. Although the affiliation-based social units shared a large part of their core areas, space and/or time use by individuals of the different units were generally distinct. Four of the units were strongly associated with both estuarine and shallow coastal areas, while the other two units were restricted to shallow coastal waters to the south (SC) and north of the estuary (NC), respectively. Interactions between individuals of different social units also occurred, but dolphins from the NC were relatively more isolated and mainly connected to SC dolphins. From a conservation management perspective, it is recommended that information about the dolphin social units should be incorporated in modeling intrapopulation dynamics and viability, as well as for investigating patterns of gene flow among them.","WILEY","DEC",2018,"101002ece34681","[Genoves, Rodrigo C.; Fruet, Pedro F.; Di Tullio, Juliana C.] Museu Oceanog Prof Eliezer de C Rios, Rio Grande, RS, Brazil./[Genoves, Rodrigo C.; Fruet, Pedro F.; Di Tullio, Juliana C.; Secchi, Eduardo R.] Univ Fed Rio Grande FURG, Inst Oceanog, Lab Ecol & Conservacao Megafauna Marinha, EcoMega, Rio Grande, RS, Brazil./[Genoves, Rodrigo C.; Secchi, Eduardo R.] Univ Fed Rio Grande FURG, Programa Posgrad Oceanog Biol, Rio Grande, RS, Brazil./[Genoves, Rodrigo C.; Fruet, Pedro F.; Di Tullio, Juliana C.] Kaosa, Rio Grande, RS, Brazil./[Genoves, Rodrigo C.; Moller, Luciana M.] Flinders Univ S Australia, Cetacean Ecol Behav & Evolut Lab, Adelaide, SA, Australia./[Genoves, Rodrigo C.; Moller, Luciana M.] Flinders Univ S Australia, Mol Ecol Lab, Adelaide, SA, Australia./[Fruet, Pedro F.] Ctr Nacl Pesquisa & Conservacao Mamiferos Aquat, CMA, ICMBio, MMA, Santos, SP, Brazil.","Genoves, RC (reprint author), Univ Fed Rio Grande FURG, Inst Oceanog, Lab Ecol & Conservacao Megafauna Marinha, EcoMega, Rio Grande, RS, Brazil.; Genoves, RC (reprint author), Flinders Univ S Australia, Cetacean Ecol Behav & Evolut Lab, Adelaide, SA, Australia.",NA
"66","Halbrook, Richard S.
Petach, Marty","Estimated mink home ranges using various home-range estimators","WILDLIFE SOC B","AMERICAN MINK; MUSTELA-VISON; DIETARY EXPOSURE; SPACE USE; MOVEMENT;
AUTOCORRELATION; CONNECTIVITY; REPRODUCTION; BEHAVIOR; RIVER","home range; Hudson River; mink; Neovison vison; New York; telemetry","Although the American mink (Neovison vison) is a fairly common and valued semiaquatic furbearing species, studies evaluating space use by mink in North America are scarce. We implanted radiotransmitters in 8 male and 6 female mink living within 3 km of the Hudson River between Hudson Falls and Northumberland Dam, New York, USA, during 2009-2011 and estimated Minimum Convex Polygon (MCP), Minimum Bounding Circle (MBC), and Kernel Density Estimate (KDE) home ranges. We also estimated an Ecological Home Range (EHR) using habitat characteristics known to be important to mink. The MBC, MCP, and 95% KDE estimation methods produced home ranges that appear to include area not actually used by mink, while the EHR method appeared to more accurately reflect space used at a finer scale. The mean 95% KDE home-range estimate was 2.3 times greater than the mean MCP estimated home range and 3.3 times greater than the mean EHR estimate. The size of individual mink EHRs ranged from 23 to 164 ha and did not differ between male and female. Our results indicate that mink home ranges can be quite variable and demonstrates the importance of selecting an estimation method based on management objectives. Home-range curves and asymptotes calculated using the Michaelis-Menten equation are provided; Site Fidelity and Time To Statistical Independence calculations reported in the rhr package of the Program R Statistical software are discussed. (c) 2018 The Wildlife Society.","WILEY","DEC",2018,"101002wsb924","[Halbrook, Richard S.] Southern Illinois Univ, Dept Zool, Cooperat Wildlife Res Lab, Carbondale, IL 62901 USA./[Petach, Marty] Format Environm, 2500 55th St, Boulder, CO 80301 USA.","Halbrook, RS (reprint author), Southern Illinois Univ, Dept Zool, Cooperat Wildlife Res Lab, Carbondale, IL 62901 USA.",NA
"67","Gantchoff, Mariela
Wang, Guiming
Beyer, Dean
Belant, Jerrold","Scale-dependent home range optimality for a solitary omnivore","ECOL EVOL","AMERICAN BLACK BEAR; RESOURCE DISPERSION HYPOTHESIS; SEXUAL SIZE
DIMORPHISM; HABITAT SELECTION; URSUS-AMERICANUS; INTRASPECIFIC
VARIATION; TRADE-OFFS; SPACE USE; FRAGMENTATION; AVAILABILITY","carnivore; forest; fragmentation; movement; North America; productivity;
space use; ursid","Spatial and temporal heterogeneity are fundamental mechanisms structuring home ranges. Under optimality, an individual should structure their space use economically to maximize fitness. We evaluated support for three hypotheses related to range optimality in American black bears (Ursus americanus), predicting (a) range location on a landscape will correspond with high vegetation productivity, (b) increasing forest fragmentation will result in larger ranges, and (c) increasing proportion of forest and/or mean vegetation productivity will result in smaller ranges. We used black bear radio telemetry data from Michigan (2009-2015), Missouri (2010-2016), and Mississippi (2008-2017), USA. Annual space use excluded winter, and we separated seasonal space use into spring, summer, and fall. We collected data from 143 bears (80 females, 63 males), resulting in 97 annual and 538 seasonal ranges. We used generalized linear mixed models to evaluate productivity (estimated through Normalized Difference Vegetation Index [NDVI]) selection, and range size (km(2)) variation between individuals. At the annual scale, black bears consistently selected areas with greater vegetation productivity than the surrounding landscape; yet selection weakened and was more variable seasonally. Opposite to our prediction, we found that increasing fragmentation consistently resulted in smaller ranges; non-forested land covers and forest edges might provide greater abundance or more diverse foods for bears. Ranges with a greater proportion of forest were smaller, likely reflecting an increase in food and cover which could reduce movements, yet there was no support for more productive ranges also being smaller as expected from an area minimizing strategy. Black bears displayed a scale-dependent space use strategy: at larger spatial and temporal scales, productivity acted as the strongest limiting factor and energy maximizing was the dominant strategy, while an area minimizing strategy was exhibited seasonally. We revealed consistent, scale-dependent responses by black bears to environmental conditions, demonstrating the intrinsic plasticity of this adaptable omnivore.","WILEY","DEC",2018,"101002ece34690","[Gantchoff, Mariela; Belant, Jerrold] SUNY Syracuse, Coll Environm Sci & Forestry, Camp Fire Program Wildlife Conservat, Syracuse, NY 13210 USA./[Wang, Guiming] Mississippi State Univ, Dept Wildlife Fisheries & Aquaculture, Mississippi State, MS 39762 USA./[Beyer, Dean] Michigan DNR, Wildlife Div, Marquette, MI USA.","Gantchoff, M (reprint author), SUNY Syracuse, ESF, 1 Forestry Dr,246 Illick Hall, Syracuse, NY USA.",NA
"68","Hardy, Scott D.
Bartolotta, Jill","Plastic cigar tips debris: Exploring use and disposal issues for Lake
Erie beaches","MAR POLLUT BULL","MARINE DEBRIS; GREAT-LAKES; ENVIRONMENT; NORTHEAST; POLLUTION; CRIME","Great Lakes; Plastic marine debris; Plastic cigar tips; Behavior change","Great Lakes states are increasingly faced with questions regarding how plastic debris is impacting marine and coastal ecosystems. This is especially evident along the southern beaches of Lake Erie, where high population and industrial development have contributed to the plastics problem. In Ohio, the most common items found are cigarettes and other smoking related materials, including plastic cigar tips. Given the growing awareness of the issue, and the impact of plastics on beaches throughout the Great Lakes, a focus group convened to investigate strategies to help address the problem. The group was comprised of individuals with practical knowledge of plastic cigar tip use and disposal issues, including representatives of government agencies, nongovernmental organizations, community groups, and local academic institutions. This report represents the exploratory results of the focus group, complete with information regarding the what, why, and how of plastic cigar tip debris in the region, guidance on the material and social barriers to sustaining desired behaviors (cessation of use by minors and/or proper disposal), strategies to overcome those barriers, and suggestions for management and policy actions moving forward. Group members suggest that a combination of education and government-supported financial incentives may be the most effective approach, with community-based positive messaging backed by local taxes on smoking items that have plastic tips and rebates or other rewards for properly disposing of debris.","PERGAMON-ELSEVIER SCIENCE LTD","DEC",2018,"101016jmarpolbul201810020","[Hardy, Scott D.; Bartolotta, Jill] Ohio State Univ, Ohio Sea Grant Coll Program, Columbus, OH 43212 USA.","Hardy, SD (reprint author), Ohio State Univ, Ohio Sea Grant Coll Program, Columbus, OH 43212 USA.",NA
"69","Aylward, C. M.
Murdoch, J. D.
Donovan, T. M.
Kilpatrick, C. W.
Bernier, C.
Katz, J.","Estimating distribution and connectivity of recolonizing American marten
in the northeastern United States using expert elicitation techniques","ANIM CONSERV","MOVEMENT BEHAVIOR; LANDSCAPE; MOUNTAINS; SELECTION; FOREST; MODEL; LYNX;
CONSERVATION; POPULATIONS; CORRIDORS","American marten; connectivity; distribution; expert opinion; Martes
americana; mixed-effects models; peripheral populations; occupancy","The American marten Martes americana is a species of conservation concern in the northeastern United States due to widespread declines from over-harvesting and habitat loss. Little information exists on current marten distribution and how landscape characteristics shape patterns of occupancy across the region, which could help develop effective recovery strategies. The rarity of marten and lack of historical distribution records are also problematic for region-wide conservation planning. Expert opinion can provide a source of information for estimating species-landscape relationships and is especially useful when empirical data are sparse. We created a survey to elicit expert opinion and build a model that describes marten occupancy in the northeastern United States as a function of landscape conditions. We elicited opinions from 18 marten experts that included wildlife managers, trappers and researchers. Each expert estimated occupancy probability at 30 sites in their geographic region of expertise. We, then, fit the response data with a set of 58 models that incorporated the effects of covariates related to forest characteristics, climate, anthropogenic impacts and competition at two spatial scales (1.5 and 5 km radii), and used model selection techniques to determine the best model in the set. Three top models had strong empirical support, which we model averaged based on AIC weights. The final model included effects of five covariates at the 5-km scale: percent canopy cover (positive), percent spruce-fir land cover (positive), winter temperature (negative), elevation (positive) and road density (negative). A receiver operating characteristic curve indicated that the model performed well based on recent occurrence records. We mapped distribution across the region and used circuit theory to estimate movement corridors between isolated core populations. The results demonstrate the effectiveness of expert-opinion data at modeling occupancy for rare species and provide tools for planning marten recovery in the northeastern United States.","WILEY","DEC",2018,"101111acv12417","[Aylward, C. M.; Murdoch, J. D.] Univ Vermont, Wildlife & Fisheries Biol Program, Rubenstein Sch Environm & Nat Resources, Burlington, VT USA./[Donovan, T. M.] Univ Vermont, US Geol Survey, Vermont Cooperat Fish & Wildlife Res Unit, Rubenstein Sch Environm & Nat Resources, Burlington, VT USA./[Kilpatrick, C. W.] Univ Vermont, Dept Biol, Burlington, VT USA./[Bernier, C.] Vermont Dept Fish & Wildlife, Springfield, VT USA./[Katz, J.] Univ Vermont, Vermont Cooperat Fish & Wildlife Res Unit, Rubenstein Sch Environm & Nat Resources, Burlington, VT USA.","Aylward, CM (reprint author), Univ Vermont, Vermont Cooperat Fish & Wildlife Res Unit, Rubenstein Sch Environm & Nat Resources, George D Aiken Ctr, Burlington, VT 05405 USA.",NA
"70","Van Cise, Amy M.
Mahaffy, Sabre D.
Baird, Robin W.
Mooney, T. Aran
Barlow, Jay","Song of my people: dialect differences among sympatric social groups of
short-finned pilot whales in Hawai'i","BEHAV ECOL SOCIOBIOL","RESIDENT KILLER WHALES; REPEATED CALL TYPES; ORCINUS-ORCA;
POPULATION-STRUCTURE; GEOGRAPHIC-VARIATION; CULTURE COEVOLUTION; VOCAL
DIALECTS; SPERM-WHALES; BIRD-SONG; PACIFIC","Acoustic communication; Short-finned pilot whale; Dialect; Social
groups; Globicephala macrorhynchus","In many social species, acoustic dialects are used to differentiate among social groups within a local population. These acoustic dialects and their corresponding social groups are often related to distinct foraging behaviors or spatial movement patterns, and it is possible that vocal repertoire variability is one of the proximate mechanisms driving or maintaining genetic and ecological diversity at a subspecies level in social species. Short-finned pilot whales (Globicephala macrorynchus) inhabiting Hawaiian waters have a stable hierarchical social structure, with familial social units associating in larger social clusters within island-associated communities. In this study, we test the hypothesis that sympatric social groups of short-finned pilot whales have acoustically differentiated dialects, which may be used to maintain the social structure. We first examined call composition of social calls collected from photographically identified social clusters of short-finned pilot whales around the Main Hawaiian Islands, using a catalog of manually classified calls, and found that call composition differed among clusters. We then conducted ANOVA and support vector machine (SVM) learning analyses of the acoustic features of social calls. Social clusters were significantly differentiated in their acoustic features, and the SVM classification accuracy was 60%. These results indicate that vocal repertoire reflects social segregation in short-finned pilot whales and may be a driving mechanism of differentiation, potentially contributing to genetic diversity within populations. This suggests divergent acoustic population structure; however, the small sample size in this study decreases the ability to detect acoustic differences among groups. Additional sampling will improve our power to detect acoustic differences among social clusters of Hawaiian pilot whales and improve classification accuracy. The pattern described here highlights the importance of increasing the spatial and temporal resolution of conservation and management plans for this species, in order to conserve subpopulation genetic and social structure.Significance statementIn some species, vocal repertoires differ among social groups or populations of a species that use the same habitat. These differences, called dialects, are thought to be important to maintaining segregation among groups of animals with overlapping distributions, and in some cases may increase intra-specific ecological or genetic variability. This study is the first to provide evidence that sympatric social clusters of short-finned pilot whales have different vocal repertoires, and that vocal repertoire within groups may change with behavioral context. In terrestrial (e.g., elephants) and marine (e.g., killer whales, sperm whales) species with similarly stable social hierarchies, where acoustic dialects, genetic diversity, and/or ecological variability are linked with social structure, anthropogenic stressors have precipitated rapid declines in abundance with slow or nonexistent recovery. Given the myriad threats faced by short-finned pilot whales in the Hawaiian Islands, including fisheries bycatch, military and commercial anthropogenic noise, and vessel strikes, understanding intra-population social structure and its links with genetic structure and ecological variability is imperative to the proper conservation and management of this species.","SPRINGER","DEC",2018,"101007s0026501825961","[Van Cise, Amy M.; Barlow, Jay] UCSD, Scripps Inst Oceanog, 9500 Gilman Dr, La Jolla, CA 92037 USA./[Van Cise, Amy M.; Mooney, T. Aran] Woods Hole Oceanog Inst, 266 Woods Hole Rd, Woods Hole, MA 02543 USA./[Mahaffy, Sabre D.; Baird, Robin W.] Cascadia Res Collect, 218 1-2 4th Ave W, Olympia, WA 98501 USA./[Barlow, Jay] NOAA, Southwest Fisheries Sci Ctr, 8901 La Jolla Shores Dr, La Jolla, CA 92037 USA.","Van Cise, AM (reprint author), UCSD, Scripps Inst Oceanog, 9500 Gilman Dr, La Jolla, CA 92037 USA.; Van Cise, AM (reprint author), Woods Hole Oceanog Inst, 266 Woods Hole Rd, Woods Hole, MA 02543 USA.",NA
"71","Krull, C. R.
McMillan, L. F.
Fewster, R. M.
van der Ree, R.
Pech, R.
Dennis, T.
Stanley, M. C.","Testing the feasibility of wireless sensor networks and the use of radio
signal strength indicator to track the movements of wild animals","WILDLIFE RES","ECOLOGY; TIME","Radio Frequency Identification; RFID; WSNs; Wireless Identification
tags; calibration; testing tracking devices; proximity studies; wildlife
sensing","Context Wireless sensor networks (WSNs) are revolutionising areas of animal behaviour research and are advantageous based on their ability to be deployed remotely and unobtrusively, for long time periods in inaccessible areas.
Aims We aimed to determine the feasibility of using a WSN to track detailed movement paths of small animals, e.g. rats (Rattus spp.) 100-400g, too small for current GPS technology, by calibrating active Radio Frequency Identification (RFID) tags and loggers using Radio Frequency Signal Strength Indicator (RSSI) as a proxy for distance. Active RFIDs are also called Wireless Identification (WID) tags.
Methods Calibration tests were conducted using a grid of loggers (n=16) spaced at 45-m intervals in clear line-of-sight conditions. WID tags (n=16) were placed between the loggers at 45-m intervals. Eight walks' were also conducted through the grid using a single WID tag. This involved attaching the tag to a small bottle of water (to simulate the body of an animal), towed around the grid using a 1-m long tow line attached to a volunteer walker. The volunteer also held a GPS device that logged their track. Models were constructed to test the effects of distance, tag movement and individual differences in loggers and tags on the reliability of movement data.
Key results Loggers were most successful at detecting tags at distances <50m. However, there was a significant difference in the detection probabilities of individual loggers and also the transmission performance of individual tags. Static tags were less likely to be detected than the mobile tag; and although RSSI was somewhat related to distance, the reliability of this parameter was highly variable.
Implications We recommend caution in the future use of current radio frequency ID tags in wireless sensor networks to track the movement of small animals, and in the use of RSSI as an indicator of individual distance values, as extensive in situ calibration is required. Off the shelf' devices may vary in performance, rendering data unreliable. We emphasise the importance of calibrating all equipment in animal tracking studies to reduce data uncertainty and error.","CSIRO PUBLISHING","DEC",2018,"101071WR18013","[Krull, C. R.; Dennis, T.; Stanley, M. C.] Univ Auckland, Sch Biol Sci, Private Bag 92019, Auckland 1142, New Zealand./[McMillan, L. F.; Fewster, R. M.] Univ Auckland, Dept Stat, Private Bag 92019, Auckland 1142, New Zealand./[van der Ree, R.] Univ Melbourne, Ecol & Infratruct Int, Melbourne, Vic 3010, Australia./[van der Ree, R.] Univ Melbourne, Sch BioSci, Melbourne, Vic 3010, Australia./[Pech, R.] Manaaki Whenua Landcare Res, POB 69040, Lincoln 7640, New Zealand.","Krull, CR (reprint author), Univ Auckland, Sch Biol Sci, Private Bag 92019, Auckland 1142, New Zealand.",NA
"72","Brunton, Elizabeth A.
Srivastava, Sanjeev K.
Burnett, Scott","Spatial ecology of an urban eastern grey kangaroo (Macropus giganteus)
population: local decline driven by kangaroo-vehicle collisions","WILDLIFE RES","HABITAT USE; HOME-RANGE; URBANIZATION; TERRESTRIAL; VIABILITY;
CARNIVORE; SPACE; ROADS; FAUNA; DEER","GPS-collaring; habitat utilisation; macropod; South-eastern Queensland;
urbanisation","Context As urban landscapes proliferate globally, the need for research into urban wildlife interactions is magnified. The eastern grey kangaroo (Macropus giganteus) is a widespread species commonly involved in wildlife-vehicle collisions in urban areas in Australia. Despite the many urban kangaroo populations and associated conflicts with human activities, few studies have examined how eastern grey kangaroos interact with, and are affected by, the urban matrix.
Aims The present study aimed to quantify kangaroo demography, movements, habitat utilisation and exposure to risks during a period of intensive urban development in a rapidly changing suburb located in a region undergoing high urban growth rates.
Methods We utilised foot-based census surveys, global positioning system (GPS) collars, direct observations and reports of wildlife mortality between 2014 and 2016. Geographical information systems (GIS) were used to integrate GPS-tracking data with spatial layers, to quantify kangaroo movements and habitat utilisation.
Key results The kangaroo population underwent a steep decline and kangaroo-vehicle collisions were the main source of mortality (73%) during the study period. Kangaroos were regularly exposed to the risk of injury, with roads intersecting many parts of their home range. Kangaroos showed positive habitat selection both for lawn and forest habitats and kangaroo movement and presence at the study site were influenced by high-quality forage and cover.
Conclusions The present research has highlighted that despite areas of suitable habitat remaining, road-kill was a major contributor to localised kangaroo-population decline. We showed that habitat preferences of eastern grey kangaroos in this urban area were consistent with those in natural landscapes.
Implications The present study is the first to implicate kangaroo-vehicle collisions as the major factor in population decline in kangaroos. These findings can be utilised to guide design and placement of kangaroo-vehicle collision mitigation and assist in planning of urban areas, particularly where kangaroo populations are in decline. Local extirpation of urban kangaroo populations would be greatly reduced by incorporating site-specific kangaroo habitat preferences and existing patterns of kangaroo habitat use in infrastructure planning. The study has contributed to our understanding of the effects of roads on urban wildlife in general and highlighted the importance of landscape permeability.","CSIRO PUBLISHING","DEC",2018,"101071WR18077","[Brunton, Elizabeth A.; Srivastava, Sanjeev K.; Burnett, Scott] Univ Sunshine Coast, Sippy Downs, Qld 4556, Australia.","Brunton, EA (reprint author), Univ Sunshine Coast, Sippy Downs, Qld 4556, Australia.",NA
